gene	chr	s1	s2
Vitvi06g01541	chr6	22255477	22265820
Vitvi06g01542	chr6	22276710	22280950
Vitvi06g01980	chr6	22289789	22291478
Vitvi06g01981	chr6	22295278	22307096
Vitvi06g01543	chr6	22317765	22319207
Vitvi06g01544	chr6	22345709	22345885
Vitvi06g01545	chr6	22346354	22354786
Vitvi06g01546	chr6	22362027	22363062
Vitvi06g01547	chr6	22377101	22377289
Vitvi06g01548	chr6	22377735	22378590
Vitvi06g01549	chr6	22387332	22388452
Vitvi06g01550	chr6	22395522	22396546
Vitvi06g01551	chr6	22404828	22406636
Vitvi06g01552	chr6	22407195	22417150
Vitvi06g01553	chr6	22424259	22430588
Vitvi06g01555	chr6	22445622	22465899
Vitvi06g01556	chr6	22478134	22480041
Vitvi06g01557	chr6	22481239	22492072
Vitvi06g01559	chr6	22499121	22499949
Vitvi06g01560	chr6	22506979	22518382
Vitvi06g01561	chr6	22541303	22541851
Vitvi06g01562	chr6	22549366	22552990
Vitvi06g01563	chr6	22553366	22559385
Vitvi06g01564	chr6	22582238	22586728
Vitvi06g01565	chr6	22611391	22611674
Vitvi06g01982	chr6	22624600	22642640
Vitvi07g02076	chr7	7967	8370
Vitvi07g02077	chr7	8710	13328
Vitvi07g02078	chr7	16433	17031
Vitvi07g00001	chr7	18461	20630
Vitvi07g00002	chr7	27161	29238
Vitvi07g00003	chr7	30884	31626
Vitvi07g00004	chr7	32349	33746
Vitvi07g00005	chr7	33522	34710
Vitvi07g00006	chr7	38312	38663
Vitvi07g00007	chr7	48306	48476
Vitvi07g00008	chr7	100727	101252
Vitvi07g02079	chr7	103764	108438
Vitvi07g02080	chr7	109205	110470
Vitvi07g00009	chr7	118113	121177
Vitvi07g02081	chr7	126035	128008
Vitvi07g00010	chr7	129215	129373
Vitvi07g02082	chr7	166376	168180
Vitvi07g02083	chr7	169000	169608
Vitvi07g00011	chr7	185744	187264
Vitvi07g00012	chr7	196285	198136
Vitvi07g00013	chr7	207204	209635
Vitvi07g00015	chr7	211437	217498
Vitvi07g00016	chr7	218015	228797
Vitvi07g02084	chr7	228798	232474
Vitvi07g00017	chr7	232475	234914
Vitvi07g00018	chr7	236153	254195
Vitvi07g00019	chr7	255977	257072
Vitvi07g00020	chr7	266627	268510
Vitvi07g00021	chr7	278302	293412
Vitvi07g00024	chr7	303011	304428
Vitvi07g00025	chr7	319598	323983
Vitvi07g02066	chr7	329176	330079
Vitvi07g00026	chr7	331865	334698
Vitvi07g00027	chr7	340131	346268
Vitvi07g00029	chr7	350112	353279
Vitvi07g00030	chr7	353831	354956
Vitvi07g00031	chr7	357698	371710
Vitvi07g00032	chr7	374136	379793
Vitvi07g00034	chr7	384335	390995
Vitvi07g00035	chr7	391570	392278
Vitvi07g02085	chr7	394353	395007
Vitvi07g02086	chr7	395583	396633
Vitvi07g02087	chr7	406818	409667
Vitvi07g02088	chr7	409816	413327
Vitvi07g02089	chr7	417693	422234
Vitvi07g02090	chr7	422739	429196
Vitvi07g02091	chr7	430004	430818
Vitvi07g02092	chr7	430942	433350
Vitvi07g02093	chr7	439607	440542
Vitvi07g02094	chr7	441550	443894
Vitvi07g00036	chr7	468326	472094
Vitvi07g00037	chr7	479407	486788
Vitvi07g00038	chr7	487715	490721
Vitvi07g00039	chr7	493483	496066
Vitvi07g00040	chr7	516248	522392
Vitvi07g00041	chr7	523538	529604
Vitvi07g00042	chr7	532777	535486
Vitvi07g00043	chr7	549030	550203
Vitvi07g00044	chr7	553430	559358
Vitvi07g00045	chr7	561397	569437
Vitvi07g00046	chr7	571145	577567
Vitvi07g00047	chr7	579034	585388
Vitvi07g00048	chr7	585511	587477
Vitvi07g00049	chr7	588900	599061
Vitvi07g00050	chr7	604975	612829
Vitvi07g00051	chr7	614837	614992
Vitvi07g00052	chr7	626907	637752
Vitvi07g00053	chr7	638700	656960
Vitvi07g00054	chr7	660189	661931
Vitvi07g00055	chr7	671903	675019
Vitvi07g00056	chr7	677174	688988
Vitvi07g00057	chr7	699360	701776
Vitvi07g02095	chr7	704724	705335
Vitvi07g02096	chr7	707147	707486
Vitvi07g00058	chr7	708861	716705
Vitvi07g00059	chr7	717357	718175
Vitvi07g00060	chr7	719187	720434
Vitvi07g00061	chr7	731011	733320
Vitvi07g00062	chr7	747998	755775
Vitvi07g02097	chr7	757006	759511
Vitvi07g00063	chr7	762001	764682
Vitvi07g00064	chr7	770737	774238
Vitvi07g00065	chr7	782739	785344
Vitvi07g00066	chr7	790464	793918
Vitvi07g00067	chr7	795651	805668
Vitvi07g00068	chr7	808538	809878
Vitvi07g00069	chr7	812008	814742
Vitvi07g00071	chr7	820325	823642
Vitvi07g02098	chr7	823865	827407
Vitvi07g02099	chr7	837607	837759
Vitvi07g02100	chr7	842161	843697
Vitvi07g00072	chr7	848151	851942
Vitvi07g00073	chr7	852546	870574
Vitvi07g00074	chr7	882967	884917
Vitvi07g00075	chr7	885228	896377
Vitvi07g00077	chr7	898939	902809
Vitvi07g02101	chr7	906453	910217
Vitvi07g00078	chr7	913692	917269
Vitvi07g00079	chr7	919958	958495
Vitvi07g00080	chr7	959225	963026
Vitvi07g00081	chr7	963943	970203
Vitvi07g00082	chr7	973941	981294
Vitvi07g00083	chr7	983006	992370
Vitvi07g02102	chr7	993744	1007905
Vitvi07g02103	chr7	1008903	1014241
Vitvi07g02104	chr7	1019007	1024632
Vitvi07g02105	chr7	1028878	1030664
Vitvi07g00084	chr7	1031709	1031879
Vitvi07g02106	chr7	1036552	1037975
Vitvi07g02107	chr7	1040675	1044937
Vitvi07g02108	chr7	1048418	1049202
Vitvi07g00085	chr7	1052988	1054445
Vitvi07g02109	chr7	1062152	1065990
Vitvi07g00086	chr7	1077596	1077754
Vitvi07g02110	chr7	1079107	1083837
Vitvi07g02111	chr7	1111649	1118149
Vitvi07g02112	chr7	1121439	1125639
Vitvi07g02113	chr7	1127267	1139316
Vitvi07g02114	chr7	1143815	1145064
Vitvi07g02115	chr7	1150430	1152412
Vitvi07g02116	chr7	1156509	1163510
Vitvi07g02117	chr7	1164369	1165503
Vitvi07g02118	chr7	1168055	1169359
Vitvi07g02119	chr7	1171100	1172458
Vitvi07g02120	chr7	1176483	1178421
Vitvi07g02121	chr7	1187246	1189800
Vitvi07g02122	chr7	1190531	1195514
Vitvi07g02123	chr7	1197507	1198777
Vitvi07g02124	chr7	1206559	1206948
Vitvi07g00087	chr7	1222870	1225969
Vitvi07g00088	chr7	1226423	1230024
Vitvi07g00089	chr7	1231259	1234402
Vitvi07g00090	chr7	1234731	1243162
Vitvi07g00091	chr7	1264561	1270256
Vitvi07g00092	chr7	1272604	1275256
Vitvi07g00094	chr7	1276735	1277605
Vitvi07g00095	chr7	1284834	1285319
Vitvi07g00096	chr7	1288652	1294324
Vitvi07g00097	chr7	1295440	1304092
Vitvi07g00099	chr7	1313812	1325105
Vitvi07g00100	chr7	1326825	1332212
Vitvi07g00101	chr7	1334791	1343207
Vitvi07g00102	chr7	1343952	1347105
Vitvi07g00103	chr7	1347285	1353684
Vitvi07g00104	chr7	1356604	1360040
Vitvi07g00105	chr7	1363860	1366956
Vitvi07g02125	chr7	1384382	1385634
Vitvi07g02126	chr7	1386480	1394166
Vitvi07g00106	chr7	1402324	1404679
Vitvi07g00107	chr7	1405392	1407468
Vitvi07g02127	chr7	1408097	1410570
Vitvi07g00108	chr7	1411705	1414539
Vitvi07g02128	chr7	1415670	1416297
Vitvi07g00109	chr7	1417892	1421868
Vitvi07g00110	chr7	1422092	1423550
Vitvi07g02129	chr7	1424054	1424497
Vitvi07g02130	chr7	1428488	1429004
Vitvi07g02131	chr7	1430006	1434168
Vitvi07g02132	chr7	1435365	1436689
Vitvi07g00112	chr7	1437817	1442530
Vitvi07g00113	chr7	1443735	1448959
Vitvi07g00114	chr7	1453744	1456613
Vitvi07g00115	chr7	1459498	1462227
Vitvi07g00116	chr7	1467348	1468536
Vitvi07g00117	chr7	1469317	1470667
Vitvi07g00118	chr7	1475572	1476564
Vitvi07g00119	chr7	1478054	1480956
Vitvi07g00120	chr7	1481857	1496944
Vitvi07g00121	chr7	1499294	1503425
Vitvi07g00122	chr7	1507234	1529310
Vitvi07g00123	chr7	1535022	1535998
Vitvi07g00124	chr7	1540668	1543574
Vitvi07g02133	chr7	1545126	1547795
Vitvi07g02134	chr7	1548406	1560671
Vitvi07g00125	chr7	1564291	1564928
Vitvi07g02135	chr7	1565370	1571086
Vitvi07g00126	chr7	1572468	1603846
Vitvi07g00127	chr7	1605733	1612151
Vitvi07g00128	chr7	1627532	1631080
Vitvi07g00129	chr7	1631486	1632650
Vitvi07g00130	chr7	1633647	1639678
Vitvi07g00131	chr7	1664990	1671072
Vitvi07g00132	chr7	1679109	1687417
Vitvi07g00133	chr7	1687475	1687630
Vitvi07g02136	chr7	1696867	1698827
Vitvi07g02137	chr7	1702216	1704086
Vitvi07g00134	chr7	1721328	1728917
Vitvi07g00135	chr7	1729973	1746546
Vitvi07g00136	chr7	1746757	1752171
Vitvi07g00137	chr7	1753925	1763088
Vitvi07g00138	chr7	1765029	1768589
Vitvi07g00139	chr7	1768890	1774626
Vitvi07g00140	chr7	1784775	1787015
Vitvi07g00141	chr7	1801586	1802251
Vitvi07g00142	chr7	1802708	1809537
Vitvi07g00144	chr7	1814175	1817615
Vitvi07g02138	chr7	1822571	1823062
Vitvi07g00145	chr7	1824476	1828265
Vitvi07g00146	chr7	1832143	1833679
Vitvi07g00147	chr7	1837284	1838621
Vitvi07g02139	chr7	1840645	1843234
Vitvi07g00148	chr7	1847016	1852216
Vitvi07g02140	chr7	1856325	1858697
Vitvi07g02141	chr7	1858698	1864529
Vitvi07g00149	chr7	1865739	1872996
Vitvi07g00150	chr7	1875798	1880191
Vitvi07g00151	chr7	1882381	1886726
Vitvi07g00152	chr7	1888699	1898816
Vitvi07g00154	chr7	1903603	1904991
Vitvi07g00155	chr7	1907036	1910908
Vitvi07g00157	chr7	1910998	1912680
Vitvi07g00158	chr7	1915294	1937411
Vitvi07g00159	chr7	1948291	1953399
Vitvi07g02142	chr7	1955406	1955833
Vitvi07g00160	chr7	1959515	1965301
Vitvi07g00161	chr7	1970368	1971367
Vitvi07g00162	chr7	1978599	1989156
Vitvi07g00164	chr7	1991380	1993313
Vitvi07g00165	chr7	1995153	1995481
Vitvi07g00166	chr7	1999620	2010879
Vitvi07g00167	chr7	2012579	2016269
Vitvi07g00168	chr7	2016486	2021025
Vitvi07g00169	chr7	2021829	2041744
Vitvi07g00171	chr7	2042675	2051220
Vitvi07g02143	chr7	2052933	2056461
Vitvi07g02144	chr7	2057262	2060523
Vitvi07g02145	chr7	2062067	2065073
Vitvi07g00172	chr7	2065981	2070212
Vitvi07g02146	chr7	2071094	2072533
Vitvi07g00173	chr7	2076057	2088745
Vitvi07g00174	chr7	2096405	2097973
Vitvi07g00175	chr7	2102097	2119226
Vitvi07g00176	chr7	2120641	2124058
Vitvi07g00177	chr7	2124121	2126090
Vitvi07g00178	chr7	2127160	2130193
Vitvi07g00179	chr7	2130347	2136432
Vitvi07g00180	chr7	2142378	2142560
Vitvi07g00181	chr7	2148851	2152001
Vitvi07g00182	chr7	2152921	2156052
Vitvi07g00183	chr7	2157116	2162219
Vitvi07g00184	chr7	2163918	2169011
Vitvi07g02147	chr7	2173138	2176952
Vitvi07g00185	chr7	2180502	2186700
Vitvi07g00186	chr7	2187825	2194998
Vitvi07g00187	chr7	2196287	2199701
Vitvi07g00188	chr7	2199914	2202393
Vitvi07g00189	chr7	2203440	2212481
Vitvi07g02148	chr7	2213427	2214399
Vitvi07g02149	chr7	2216669	2217665
Vitvi07g00190	chr7	2224751	2230024
Vitvi07g00191	chr7	2232875	2234559
Vitvi07g00193	chr7	2238155	2239765
Vitvi07g00194	chr7	2241890	2253078
Vitvi07g00195	chr7	2255745	2261078
Vitvi07g00196	chr7	2263654	2269469
Vitvi07g00197	chr7	2269620	2272943
Vitvi07g00198	chr7	2272984	2274957
Vitvi07g00199	chr7	2277086	2306543
Vitvi07g00200	chr7	2309395	2311022
Vitvi07g02150	chr7	2316902	2326309
Vitvi07g00201	chr7	2327727	2329716
Vitvi07g00202	chr7	2333135	2336507
Vitvi07g00203	chr7	2337824	2340325
Vitvi07g00204	chr7	2341398	2346178
Vitvi07g00205	chr7	2347776	2356917
Vitvi07g00206	chr7	2357120	2357772
Vitvi07g00207	chr7	2358406	2363368
Vitvi07g00208	chr7	2366723	2369700
Vitvi07g00209	chr7	2379914	2383651
Vitvi07g00210	chr7	2385233	2393400
Vitvi07g00211	chr7	2394490	2399277
Vitvi07g00212	chr7	2402639	2402778
Vitvi07g00213	chr7	2403018	2404247
Vitvi07g00214	chr7	2407752	2416252
Vitvi07g00215	chr7	2421097	2430891
Vitvi07g00216	chr7	2434617	2439923
Vitvi07g02151	chr7	2440148	2441584
Vitvi07g00217	chr7	2443372	2446100
Vitvi07g02152	chr7	2450605	2453998
Vitvi07g00218	chr7	2459389	2461146
Vitvi07g00219	chr7	2464780	2465476
Vitvi07g00220	chr7	2465946	2466874
Vitvi07g02153	chr7	2468276	2469809
Vitvi07g00221	chr7	2471859	2478395
Vitvi07g00222	chr7	2481984	2484445
Vitvi07g02154	chr7	2485453	2487375
Vitvi07g00223	chr7	2488175	2505572
Vitvi07g00224	chr7	2505897	2509299
Vitvi07g00225	chr7	2510670	2519973
Vitvi07g00226	chr7	2530795	2532632
Vitvi07g00227	chr7	2539206	2551055
Vitvi07g00228	chr7	2552079	2560946
Vitvi07g00229	chr7	2565745	2566017
Vitvi07g00230	chr7	2566072	2568938
Vitvi07g02155	chr7	2571430	2571873
Vitvi07g00231	chr7	2577206	2580232
Vitvi07g02156	chr7	2580866	2581822
Vitvi07g00232	chr7	2582817	2595354
Vitvi07g00233	chr7	2598232	2602759
Vitvi07g00234	chr7	2605430	2609796
Vitvi07g00235	chr7	2611471	2615121
Vitvi07g02157	chr7	2620946	2628159
Vitvi07g00236	chr7	2631707	2632896
Vitvi07g00237	chr7	2634681	2638164
Vitvi07g00238	chr7	2638632	2644272
Vitvi07g00240	chr7	2648273	2658716
Vitvi07g00241	chr7	2658779	2661519
Vitvi07g00242	chr7	2665841	2667731
Vitvi07g02158	chr7	2682767	2683183
Vitvi07g00243	chr7	2683483	2687302
Vitvi07g00244	chr7	2690767	2698642
Vitvi07g00245	chr7	2705359	2705523
Vitvi07g02159	chr7	2705689	2711130
Vitvi07g02160	chr7	2712514	2713605
Vitvi07g00246	chr7	2716156	2717056
Vitvi07g00247	chr7	2725725	2725931
Vitvi07g00248	chr7	2733595	2739476
Vitvi07g02161	chr7	2743467	2746816
Vitvi07g00250	chr7	2749916	2751667
Vitvi07g00251	chr7	2760441	2761688
Vitvi07g00252	chr7	2762240	2765564
Vitvi07g00253	chr7	2770220	2775165
Vitvi07g02162	chr7	2777191	2777685
Vitvi07g02163	chr7	2777845	2778841
Vitvi07g00254	chr7	2782219	2785515
Vitvi07g00255	chr7	2789268	2789979
Vitvi07g00256	chr7	2791335	2792222
Vitvi07g00257	chr7	2806050	2810418
Vitvi07g00258	chr7	2813531	2813680
Vitvi07g00259	chr7	2814838	2815586
Vitvi07g02164	chr7	2820434	2821325
Vitvi07g00260	chr7	2822873	2827225
Vitvi07g00262	chr7	2833474	2842591
Vitvi07g00263	chr7	2843952	2844100
Vitvi07g00264	chr7	2849785	2859454
Vitvi07g00265	chr7	2860199	2867282
Vitvi07g02165	chr7	2868472	2869673
Vitvi07g02166	chr7	2870923	2873746
Vitvi07g02167	chr7	2875266	2880221
Vitvi07g02168	chr7	2879512	2889981
Vitvi07g02169	chr7	2890194	2893708
Vitvi07g02170	chr7	2893709	2895194
Vitvi07g02171	chr7	2895195	2896072
Vitvi07g02172	chr7	2899621	2899969
Vitvi07g02173	chr7	2900256	2903843
Vitvi07g02174	chr7	2904737	2907649
Vitvi07g00266	chr7	2910576	2923537
Vitvi07g00267	chr7	2924187	2936698
Vitvi07g00268	chr7	2941598	2950965
Vitvi07g00269	chr7	2953955	2963606
Vitvi07g00270	chr7	2972264	2983296
Vitvi07g02175	chr7	2992926	2994008
Vitvi07g02176	chr7	2997299	2998073
Vitvi07g00271	chr7	3001329	3004290
Vitvi07g00272	chr7	3008038	3021238
Vitvi07g00273	chr7	3028197	3028866
Vitvi07g00274	chr7	3032151	3032339
Vitvi07g02177	chr7	3036526	3037863
Vitvi07g02178	chr7	3045814	3050927
Vitvi07g00275	chr7	3051775	3062293
Vitvi07g02179	chr7	3069736	3073914
Vitvi07g02180	chr7	3085539	3091919
Vitvi07g02181	chr7	3098280	3102637
Vitvi07g02182	chr7	3103227	3107797
Vitvi07g02183	chr7	3111533	3116363
Vitvi07g00276	chr7	3124579	3129149
Vitvi07g00277	chr7	3130569	3135553
Vitvi07g00278	chr7	3136759	3137824
Vitvi07g02184	chr7	3138592	3139286
Vitvi07g02185	chr7	3142656	3143863
Vitvi07g00279	chr7	3149942	3158001
Vitvi07g00280	chr7	3161563	3164656
Vitvi07g02186	chr7	3166473	3166787
Vitvi07g02187	chr7	3173933	3175411
Vitvi07g00281	chr7	3179186	3179538
Vitvi07g00282	chr7	3182383	3186542
Vitvi07g02188	chr7	3188861	3190283
Vitvi07g02189	chr7	3194225	3195754
Vitvi07g02190	chr7	3197932	3198789
Vitvi07g00283	chr7	3200000	3201033
Vitvi07g00284	chr7	3202558	3202734
Vitvi07g00285	chr7	3219298	3220800
Vitvi07g02191	chr7	3224033	3225961
Vitvi07g00286	chr7	3228606	3229994
Vitvi07g00287	chr7	3232026	3232202
Vitvi07g00288	chr7	3239807	3239998
Vitvi07g00289	chr7	3241237	3242839
Vitvi07g00290	chr7	3244655	3248718
Vitvi07g02193	chr7	3256695	3257107
Vitvi07g00291	chr7	3257334	3260182
Vitvi07g00292	chr7	3269367	3270675
Vitvi07g00293	chr7	3277913	3280345
Vitvi07g00294	chr7	3290149	3296924
Vitvi07g00295	chr7	3299164	3299796
Vitvi07g02194	chr7	3300366	3302069
Vitvi07g00296	chr7	3303689	3308699
Vitvi07g00298	chr7	3311883	3312937
Vitvi07g00299	chr7	3314366	3315793
Vitvi07g00300	chr7	3317317	3319881
Vitvi07g00301	chr7	3322173	3323513
Vitvi07g00302	chr7	3333280	3338165
Vitvi07g02195	chr7	3342782	3344433
Vitvi07g00303	chr7	3347189	3373101
Vitvi07g00306	chr7	3375080	3378216
Vitvi07g00307	chr7	3379690	3388422
Vitvi07g00308	chr7	3389780	3393535
Vitvi07g00309	chr7	3393830	3401008
Vitvi07g00310	chr7	3401656	3406275
Vitvi07g00311	chr7	3414689	3422032
Vitvi07g00312	chr7	3423405	3427837
Vitvi07g00313	chr7	3431251	3434381
Vitvi07g00314	chr7	3440907	3442626
Vitvi07g00315	chr7	3450069	3469419
Vitvi07g00316	chr7	3478290	3483173
Vitvi07g02196	chr7	3483223	3484706
Vitvi07g00317	chr7	3485884	3486870
Vitvi07g02197	chr7	3487986	3488412
Vitvi07g02198	chr7	3494896	3499084
Vitvi07g02199	chr7	3499557	3501863
Vitvi07g02200	chr7	3501864	3502645
Vitvi07g02201	chr7	3505154	3509548
Vitvi07g00319	chr7	3510030	3522550
Vitvi07g00320	chr7	3523216	3527916
Vitvi07g02202	chr7	3528299	3542231
Vitvi07g00321	chr7	3555764	3556327
Vitvi07g02203	chr7	3559637	3566001
Vitvi07g00322	chr7	3567205	3569254
Vitvi07g00323	chr7	3570122	3574203
Vitvi07g00324	chr7	3575826	3577019
Vitvi07g00325	chr7	3582783	3586711
Vitvi07g00326	chr7	3587262	3591047
Vitvi07g00327	chr7	3591986	3595739
Vitvi07g00328	chr7	3599405	3601415
Vitvi07g02204	chr7	3612802	3613375
Vitvi07g00329	chr7	3614130	3615136
Vitvi07g02205	chr7	3616765	3620176
Vitvi07g00330	chr7	3621961	3623311
Vitvi07g00331	chr7	3624957	3626687
Vitvi07g00332	chr7	3629940	3640424
Vitvi07g00333	chr7	3641700	3644741
Vitvi07g00334	chr7	3645951	3648505
Vitvi07g00335	chr7	3649273	3659927
Vitvi07g00336	chr7	3660783	3666397
Vitvi07g00337	chr7	3673578	3681202
Vitvi07g00338	chr7	3683627	3684836
Vitvi07g00339	chr7	3688843	3692624
Vitvi07g00340	chr7	3693761	3698375
Vitvi07g00341	chr7	3703079	3703936
Vitvi07g00342	chr7	3707981	3708758
Vitvi07g00343	chr7	3713986	3718233
Vitvi07g00346	chr7	3723704	3727122
Vitvi07g00347	chr7	3727361	3730211
Vitvi07g00348	chr7	3733434	3734672
Vitvi07g00349	chr7	3735541	3736295
Vitvi07g00350	chr7	3738086	3740123
Vitvi07g00351	chr7	3747183	3750232
Vitvi07g00352	chr7	3758177	3760828
Vitvi07g00353	chr7	3763032	3771483
Vitvi07g00354	chr7	3774205	3776756
Vitvi07g02206	chr7	3779099	3782116
Vitvi07g00355	chr7	3797556	3811131
Vitvi07g02207	chr7	3811846	3813514
Vitvi07g02208	chr7	3813905	3815049
Vitvi07g00356	chr7	3817361	3818772
Vitvi07g02209	chr7	3821197	3821927
Vitvi07g00357	chr7	3829046	3830456
Vitvi07g00358	chr7	3834997	3837474
Vitvi07g02210	chr7	3838059	3840824
Vitvi07g00359	chr7	3843149	3849137
Vitvi07g00360	chr7	3852984	3860698
Vitvi07g00361	chr7	3864932	3866171
Vitvi07g00362	chr7	3866582	3874233
Vitvi07g00363	chr7	3877059	3880844
Vitvi07g00364	chr7	3881285	3886869
Vitvi07g00365	chr7	3899513	3900356
Vitvi07g00366	chr7	3902387	3903425
Vitvi07g00367	chr7	3905755	3906332
Vitvi07g00368	chr7	3906595	3913090
Vitvi07g00369	chr7	3920664	3931121
Vitvi07g00370	chr7	3939063	3946750
Vitvi07g00371	chr7	3947697	3952132
Vitvi07g00372	chr7	3953439	3957173
Vitvi07g00373	chr7	3957764	3961675
Vitvi07g00374	chr7	3963272	3966481
Vitvi07g00375	chr7	3966962	3969168
Vitvi07g00376	chr7	3971234	3974999
Vitvi07g00378	chr7	3981269	3983339
Vitvi07g02211	chr7	3999470	4002092
Vitvi07g02212	chr7	4007337	4008386
Vitvi07g02213	chr7	4008538	4009597
Vitvi07g00380	chr7	4010033	4011494
Vitvi07g02214	chr7	4011736	4013050
Vitvi07g02215	chr7	4018322	4025544
Vitvi07g00381	chr7	4026228	4028911
Vitvi07g00382	chr7	4032662	4038890
Vitvi07g00383	chr7	4041337	4044860
Vitvi07g00384	chr7	4048543	4052842
Vitvi07g00385	chr7	4052872	4053078
Vitvi07g02216	chr7	4061070	4061785
Vitvi07g02217	chr7	4062092	4063209
Vitvi07g00386	chr7	4068135	4068903
Vitvi07g00387	chr7	4069111	4078075
Vitvi07g00388	chr7	4078352	4080749
Vitvi07g00389	chr7	4080785	4086433
Vitvi07g00390	chr7	4089203	4090808
Vitvi07g00391	chr7	4094031	4096413
Vitvi07g00392	chr7	4097249	4100900
Vitvi07g00393	chr7	4112584	4114855
Vitvi07g00394	chr7	4132329	4139353
Vitvi07g02218	chr7	4139582	4143274
Vitvi07g02219	chr7	4165495	4166703
Vitvi07g00395	chr7	4170815	4174472
Vitvi07g00396	chr7	4180728	4182408
Vitvi07g00397	chr7	4186391	4186656
Vitvi07g00398	chr7	4198869	4201281
Vitvi07g00399	chr7	4202856	4210331
Vitvi07g00400	chr7	4214954	4217745
Vitvi07g00401	chr7	4223311	4227427
Vitvi07g02220	chr7	4231534	4232522
Vitvi07g02221	chr7	4236124	4236845
Vitvi07g00402	chr7	4237780	4242072
Vitvi07g00403	chr7	4250317	4251069
Vitvi07g00404	chr7	4254488	4255996
Vitvi07g00405	chr7	4263414	4265799
Vitvi07g00406	chr7	4265890	4275554
Vitvi07g00407	chr7	4283896	4288442
Vitvi07g00408	chr7	4290268	4295886
Vitvi07g02222	chr7	4297642	4299702
Vitvi07g02223	chr7	4303115	4304230
Vitvi07g00409	chr7	4307891	4309737
Vitvi07g00410	chr7	4310395	4337455
Vitvi07g00411	chr7	4338309	4345975
Vitvi07g00412	chr7	4347311	4360477
Vitvi07g00413	chr7	4368990	4370134
Vitvi07g00414	chr7	4373034	4382322
Vitvi07g02224	chr7	4383308	4383989
Vitvi07g00415	chr7	4385367	4388620
Vitvi07g00416	chr7	4389795	4392680
Vitvi07g00417	chr7	4392681	4407778
Vitvi07g00418	chr7	4408615	4410429
Vitvi07g00419	chr7	4416150	4417759
Vitvi07g00420	chr7	4418074	4419082
Vitvi07g00421	chr7	4426161	4427783
Vitvi07g00422	chr7	4429365	4437139
Vitvi07g02225	chr7	4438090	4439796
Vitvi07g02226	chr7	4439865	4441402
Vitvi07g00423	chr7	4442687	4446512
Vitvi07g02227	chr7	4446713	4447085
Vitvi07g02228	chr7	4453471	4454262
Vitvi07g00424	chr7	4454790	4475554
Vitvi07g00425	chr7	4475761	4481834
Vitvi07g00426	chr7	4482020	4486860
Vitvi07g00427	chr7	4500275	4507685
Vitvi07g00428	chr7	4509524	4512822
Vitvi07g00429	chr7	4516657	4533846
Vitvi07g00430	chr7	4534464	4539298
Vitvi07g02229	chr7	4546407	4547659
Vitvi07g00431	chr7	4550066	4553889
Vitvi07g00432	chr7	4559328	4561896
Vitvi07g02230	chr7	4572737	4573193
Vitvi07g00433	chr7	4575064	4575222
Vitvi07g00434	chr7	4582141	4584188
Vitvi07g00435	chr7	4585609	4600657
Vitvi07g00436	chr7	4601930	4606312
Vitvi07g00437	chr7	4608553	4609143
Vitvi07g00438	chr7	4609827	4610417
Vitvi07g00439	chr7	4610840	4613792
Vitvi07g00440	chr7	4619903	4620681
Vitvi07g00441	chr7	4621401	4623436
Vitvi07g00442	chr7	4634760	4641427
Vitvi07g00444	chr7	4642992	4644907
Vitvi07g00445	chr7	4647398	4654114
Vitvi07g00446	chr7	4659977	4664762
Vitvi07g00448	chr7	4664763	4679096
Vitvi07g00449	chr7	4680856	4683284
Vitvi07g00450	chr7	4683344	4685070
Vitvi07g02231	chr7	4686510	4688850
Vitvi07g02232	chr7	4689553	4694782
Vitvi07g02233	chr7	4697400	4699662
Vitvi07g02234	chr7	4706064	4706921
Vitvi07g02235	chr7	4707117	4708369
Vitvi07g02236	chr7	4709414	4710971
Vitvi07g00451	chr7	4713013	4713911
Vitvi07g02237	chr7	4718458	4720571
Vitvi07g02238	chr7	4722061	4722582
Vitvi07g02239	chr7	4729935	4732840
Vitvi07g02240	chr7	4734157	4735088
Vitvi07g00452	chr7	4735183	4743774
Vitvi07g02241	chr7	4745510	4746335
Vitvi07g00453	chr7	4759205	4761422
Vitvi07g00454	chr7	4762321	4764885
Vitvi07g00455	chr7	4773113	4774154
Vitvi07g00456	chr7	4785268	4794585
Vitvi07g00457	chr7	4798365	4799778
Vitvi07g02242	chr7	4804441	4806139
Vitvi07g00458	chr7	4809692	4810453
Vitvi07g00459	chr7	4811501	4817295
Vitvi07g00460	chr7	4825830	4826090
Vitvi07g00461	chr7	4827243	4827785
Vitvi07g00462	chr7	4830369	4830530
Vitvi07g00463	chr7	4833812	4836606
Vitvi07g00464	chr7	4836878	4840003
Vitvi07g00465	chr7	4841290	4845612
Vitvi07g00466	chr7	4846118	4848455
Vitvi07g00467	chr7	4850014	4853069
Vitvi07g00468	chr7	4854008	4857820
Vitvi07g00469	chr7	4857932	4859710
Vitvi07g00470	chr7	4863974	4867721
Vitvi07g02243	chr7	4872745	4873236
Vitvi07g02244	chr7	4879464	4880221
Vitvi07g00471	chr7	4885150	4887186
Vitvi07g00472	chr7	4890247	4894858
Vitvi07g00474	chr7	4904979	4907653
Vitvi07g00475	chr7	4907843	4910850
Vitvi07g00476	chr7	4918795	4920860
Vitvi07g00477	chr7	4921922	4926273
Vitvi07g00478	chr7	4926796	4928083
Vitvi07g00479	chr7	4938901	4939703
Vitvi07g00481	chr7	4942313	4945205
